RTL,drop,spp,genome.count,gen.div
0.971053784,0.4,Bacillus_amyloliquefaciens,25,0.028946
0.971052759,0.44,Bacillus_amyloliquefaciens,25,0.028947
0.955917089,0.48,Bacillus_amyloliquefaciens,25,0.044083
0.955915971,0.52,Bacillus_amyloliquefaciens,25,0.044084
0.941431544,0.56,Bacillus_amyloliquefaciens,25,0.058568
0.926934263,0.6,Bacillus_amyloliquefaciens,25,0.073066
0.897943146,0.64,Bacillus_amyloliquefaciens,25,0.102057
0.868945229,0.68,Bacillus_amyloliquefaciens,25,0.131055
0.839938276,0.72,Bacillus_amyloliquefaciens,25,0.160062
0.780811265,0.76,Bacillus_amyloliquefaciens,25,0.219189
0.741342209,0.8,Bacillus_amyloliquefaciens,25,0.258658
0.668881791,0.84,Bacillus_amyloliquefaciens,25,0.331118
0.625399354,0.88,Bacillus_amyloliquefaciens,25,0.374601
1,0,Bacillus_anthracis,50,0
1,0.02,Bacillus_anthracis,50,0
1,0.04,Bacillus_anthracis,50,0
1,0.06,Bacillus_anthracis,50,0
1,0.08,Bacillus_anthracis,50,0
1,0.1,Bacillus_anthracis,50,0
1,0.12,Bacillus_anthracis,50,0
1,0.14,Bacillus_anthracis,50,0
1,0.16,Bacillus_anthracis,50,0
1,0.18,Bacillus_anthracis,50,0
1,0.2,Bacillus_anthracis,50,0
1,0.22,Bacillus_anthracis,50,0
1,0.24,Bacillus_anthracis,50,0
1,0.26,Bacillus_anthracis,50,0
1,0.28,Bacillus_anthracis,50,0
1,0.3,Bacillus_anthracis,50,0
1,0.32,Bacillus_anthracis,50,0
1,0.34,Bacillus_anthracis,50,0
1,0.36,Bacillus_anthracis,50,0
1,0.38,Bacillus_anthracis,50,0
1,0.4,Bacillus_anthracis,50,0
1,0.42,Bacillus_anthracis,50,0
1,0.44,Bacillus_anthracis,50,0
1,0.46,Bacillus_anthracis,50,0
1,0.48,Bacillus_anthracis,50,0
1,0.5,Bacillus_anthracis,50,0
1,0.52,Bacillus_anthracis,50,0
1,0.54,Bacillus_anthracis,50,0
1,0.56,Bacillus_anthracis,50,0
1,0.58,Bacillus_anthracis,50,0
1,0.6,Bacillus_anthracis,50,0
1,0.62,Bacillus_anthracis,50,0
1,0.64,Bacillus_anthracis,50,0
0.999999193,0.66,Bacillus_anthracis,50,1.00E-06
0.999998386,0.68,Bacillus_anthracis,50,2.00E-06
0.999997578,0.7,Bacillus_anthracis,50,2.00E-06
0.999996771,0.72,Bacillus_anthracis,50,3.00E-06
0.979183455,0.74,Bacillus_anthracis,50,0.020817
0.95836543,0.76,Bacillus_anthracis,50,0.041635
0.937546868,0.78,Bacillus_anthracis,50,0.062453
0.916733821,0.8,Bacillus_anthracis,50,0.083266
0.895919428,0.82,Bacillus_anthracis,50,0.104081
0.875106785,0.84,Bacillus_anthracis,50,0.124893
0.833475579,0.86,Bacillus_anthracis,50,0.166524
0.791830919,0.88,Bacillus_anthracis,50,0.208169
0.771014643,0.9,Bacillus_anthracis,50,0.228985
0.750190699,0.92,Bacillus_anthracis,50,0.249809
0.729377787,0.94,Bacillus_anthracis,50,0.270622
1,0,Bacillus_cereus,47,0
1,0.021276596,Bacillus_cereus,47,0
1,0.042553191,Bacillus_cereus,47,0
1,0.063829787,Bacillus_cereus,47,0
1,0.085106383,Bacillus_cereus,47,0
1,0.106382979,Bacillus_cereus,47,0
1,0.127659574,Bacillus_cereus,47,0
1,0.14893617,Bacillus_cereus,47,0
1,0.170212766,Bacillus_cereus,47,0
1,0.191489362,Bacillus_cereus,47,0
1,0.212765957,Bacillus_cereus,47,0
0.999999758,0.234042553,Bacillus_cereus,47,0
0.999999516,0.255319149,Bacillus_cereus,47,0
0.999999275,0.276595745,Bacillus_cereus,47,1.00E-06
0.999998832,0.29787234,Bacillus_cereus,47,1.00E-06
0.99999859,0.319148936,Bacillus_cereus,47,1.00E-06
0.999998348,0.340425532,Bacillus_cereus,47,2.00E-06
0.999998106,0.361702128,Bacillus_cereus,47,2.00E-06
0.999997864,0.382978723,Bacillus_cereus,47,2.00E-06
0.999997623,0.404255319,Bacillus_cereus,47,2.00E-06
0.993765049,0.425531915,Bacillus_cereus,47,0.006235
0.987528566,0.446808511,Bacillus_cereus,47,0.012471
0.981291761,0.468085106,Bacillus_cereus,47,0.018708
0.981291519,0.489361702,Bacillus_cereus,47,0.018708
0.981291278,0.510638298,Bacillus_cereus,47,0.018709
0.975055037,0.531914894,Bacillus_cereus,47,0.024945
0.968821294,0.553191489,Bacillus_cereus,47,0.031179
0.962585215,0.574468085,Bacillus_cereus,47,0.037415
0.956346718,0.595744681,Bacillus_cereus,47,0.043653
0.950107092,0.617021277,Bacillus_cereus,47,0.049893
0.937633442,0.638297872,Bacillus_cereus,47,0.062367
0.937632999,0.659574468,Bacillus_cereus,47,0.062367
0.937632757,0.680851064,Bacillus_cereus,47,0.062367
0.925162855,0.70212766,Bacillus_cereus,47,0.074837
0.912693113,0.723404255,Bacillus_cereus,47,0.087307
0.899512848,0.744680851,Bacillus_cereus,47,0.100487
0.893276446,0.765957447,Bacillus_cereus,47,0.106724
0.880236682,0.787234043,Bacillus_cereus,47,0.119763
0.874005679,0.808510638,Bacillus_cereus,47,0.125994
0.855309649,0.829787234,Bacillus_cereus,47,0.14469
0.836600645,0.85106383,Bacillus_cereus,47,0.163399
0.805434792,0.872340426,Bacillus_cereus,47,0.194565
0.788534573,0.893617021,Bacillus_cereus,47,0.211465
0.769814972,0.914893617,Bacillus_cereus,47,0.230185
0.713623047,0.936170213,Bacillus_cereus,47,0.286377
1,0,Bacillus_cytotoxicus,11,0
1,0.090909091,Bacillus_cytotoxicus,11,0
1,0.181818182,Bacillus_cytotoxicus,11,0
1,0.272727273,Bacillus_cytotoxicus,11,0
1,0.363636364,Bacillus_cytotoxicus,11,0
1,0.454545455,Bacillus_cytotoxicus,11,0
1,0.545454545,Bacillus_cytotoxicus,11,0
1,0.636363636,Bacillus_cytotoxicus,11,0
1,0.727272727,Bacillus_cytotoxicus,11,0
1,0,Bacillus_licheniformis,15,0
1,0.066666667,Bacillus_licheniformis,15,0
1,0.133333333,Bacillus_licheniformis,15,0
1,0.2,Bacillus_licheniformis,15,0
1,0.266666667,Bacillus_licheniformis,15,0
0.999996177,0.333333333,Bacillus_licheniformis,15,4.00E-06
0.999992991,0.4,Bacillus_licheniformis,15,7.00E-06
0.999985345,0.466666667,Bacillus_licheniformis,15,1.50E-05
0.999981522,0.533333333,Bacillus_licheniformis,15,1.80E-05
0.999977699,0.6,Bacillus_licheniformis,15,2.20E-05
0.901092641,0.666666667,Bacillus_licheniformis,15,0.098907
0.791366554,0.733333333,Bacillus_licheniformis,15,0.208633
0.692485956,0.8,Bacillus_licheniformis,15,0.307514
1,0,Bacillus_subtilis,67,0
1,0.014925373,Bacillus_subtilis,67,0
1,0.029850746,Bacillus_subtilis,67,0
1,0.044776119,Bacillus_subtilis,67,0
1,0.059701493,Bacillus_subtilis,67,0
1,0.074626866,Bacillus_subtilis,67,0
1,0.089552239,Bacillus_subtilis,67,0
1,0.104477612,Bacillus_subtilis,67,0
1,0.119402985,Bacillus_subtilis,67,0
1,0.134328358,Bacillus_subtilis,67,0
1,0.149253731,Bacillus_subtilis,67,0
1,0.164179104,Bacillus_subtilis,67,0
1,0.179104478,Bacillus_subtilis,67,0
1,0.194029851,Bacillus_subtilis,67,0
1,0.208955224,Bacillus_subtilis,67,0
1,0.223880597,Bacillus_subtilis,67,0
1,0.23880597,Bacillus_subtilis,67,0
1,0.253731343,Bacillus_subtilis,67,0
1,0.268656716,Bacillus_subtilis,67,0
1,0.28358209,Bacillus_subtilis,67,0
1,0.298507463,Bacillus_subtilis,67,0
1,0.313432836,Bacillus_subtilis,67,0
1,0.328358209,Bacillus_subtilis,67,0
1,0.343283582,Bacillus_subtilis,67,0
1,0.358208955,Bacillus_subtilis,67,0
1,0.373134328,Bacillus_subtilis,67,0
1,0.388059701,Bacillus_subtilis,67,0
1,0.402985075,Bacillus_subtilis,67,0
1,0.417910448,Bacillus_subtilis,67,0
1,0.432835821,Bacillus_subtilis,67,0
1,0.447761194,Bacillus_subtilis,67,0
1,0.462686567,Bacillus_subtilis,67,0
1,0.47761194,Bacillus_subtilis,67,0
1,0.492537313,Bacillus_subtilis,67,0
1,0.507462687,Bacillus_subtilis,67,0
1,0.52238806,Bacillus_subtilis,67,0
0.999999909,0.537313433,Bacillus_subtilis,67,0
0.999999833,0.552238806,Bacillus_subtilis,67,0
0.999999742,0.567164179,Bacillus_subtilis,67,0
0.997648382,0.582089552,Bacillus_subtilis,67,0.002352
0.997648291,0.597014925,Bacillus_subtilis,67,0.002352
0.995296612,0.611940299,Bacillus_subtilis,67,0.004703
0.995296521,0.626865672,Bacillus_subtilis,67,0.004703
0.992944023,0.641791045,Bacillus_subtilis,67,0.007056
0.992943947,0.656716418,Bacillus_subtilis,67,0.007056
0.99059248,0.671641791,Bacillus_subtilis,67,0.009408
0.990592389,0.686567164,Bacillus_subtilis,67,0.009408
0.985889956,0.701492537,Bacillus_subtilis,67,0.01411
0.98588988,0.71641791,Bacillus_subtilis,67,0.01411
0.983537761,0.731343284,Bacillus_subtilis,67,0.016462
0.978834328,0.746268657,Bacillus_subtilis,67,0.021166
0.974130712,0.76119403,Bacillus_subtilis,67,0.025869
0.969427733,0.776119403,Bacillus_subtilis,67,0.030572
0.964724344,0.791044776,Bacillus_subtilis,67,0.035276
0.960018939,0.805970149,Bacillus_subtilis,67,0.039981
0.955298368,0.820895522,Bacillus_subtilis,67,0.044702
0.948238644,0.835820896,Bacillus_subtilis,67,0.051761
0.94588055,0.850746269,Bacillus_subtilis,67,0.054119
0.936469269,0.865671642,Bacillus_subtilis,67,0.063531
0.927057928,0.880597015,Bacillus_subtilis,67,0.072942
0.912952979,0.895522388,Bacillus_subtilis,67,0.087047
0.887025576,0.910447761,Bacillus_subtilis,67,0.112974
0.849461331,0.925373134,Bacillus_subtilis,67,0.150539
0.824219946,0.940298507,Bacillus_subtilis,67,0.17578
0.757348872,0.955223881,Bacillus_subtilis,67,0.242651
1,0,Bacillus_thuringiensis,41,0
1,0.024390244,Bacillus_thuringiensis,41,0
1,0.048780488,Bacillus_thuringiensis,41,0
1,0.073170732,Bacillus_thuringiensis,41,0
1,0.097560976,Bacillus_thuringiensis,41,0
1,0.12195122,Bacillus_thuringiensis,41,0
1,0.146341463,Bacillus_thuringiensis,41,0
1,0.170731707,Bacillus_thuringiensis,41,0
1,0.195121951,Bacillus_thuringiensis,41,0
1,0.219512195,Bacillus_thuringiensis,41,0
1,0.243902439,Bacillus_thuringiensis,41,0
1,0.268292683,Bacillus_thuringiensis,41,0
1,0.292682927,Bacillus_thuringiensis,41,0
1,0.317073171,Bacillus_thuringiensis,41,0
1,0.341463415,Bacillus_thuringiensis,41,0
0.999999808,0.365853659,Bacillus_thuringiensis,41,0
0.999999616,0.390243902,Bacillus_thuringiensis,41,0
0.999999456,0.414634146,Bacillus_thuringiensis,41,1.00E-06
0.999999264,0.43902439,Bacillus_thuringiensis,41,1.00E-06
0.999998752,0.463414634,Bacillus_thuringiensis,41,1.00E-06
0.999998592,0.487804878,Bacillus_thuringiensis,41,1.00E-06
0.999997888,0.512195122,Bacillus_thuringiensis,41,2.00E-06
0.999997696,0.536585366,Bacillus_thuringiensis,41,2.00E-06
0.995044994,0.56097561,Bacillus_thuringiensis,41,0.004955
0.990091523,0.585365854,Bacillus_thuringiensis,41,0.009908
0.990091331,0.609756098,Bacillus_thuringiensis,41,0.009909
0.984595226,0.634146341,Bacillus_thuringiensis,41,0.015405
0.979645852,0.658536585,Bacillus_thuringiensis,41,0.020354
0.97964566,0.682926829,Bacillus_thuringiensis,41,0.020354
0.959839138,0.707317073,Bacillus_thuringiensis,41,0.040161
0.949931686,0.731707317,Bacillus_thuringiensis,41,0.050068
0.949931334,0.756097561,Bacillus_thuringiensis,41,0.050069
0.944977512,0.780487805,Bacillus_thuringiensis,41,0.055022
0.930114893,0.804878049,Bacillus_thuringiensis,41,0.069885
0.920205712,0.829268293,Bacillus_thuringiensis,41,0.079794
0.860753317,0.853658537,Bacillus_thuringiensis,41,0.139247
0.842379732,0.87804878,Bacillus_thuringiensis,41,0.15762
0.806194491,0.902439024,Bacillus_thuringiensis,41,0.193806
0.721721986,0.926829268,Bacillus_thuringiensis,41,0.278278
1,0,Bacillus_velezensis,63,0
1,0.015873016,Bacillus_velezensis,63,0
1,0.031746032,Bacillus_velezensis,63,0
1,0.047619048,Bacillus_velezensis,63,0
1,0.063492063,Bacillus_velezensis,63,0
1,0.079365079,Bacillus_velezensis,63,0
1,0.095238095,Bacillus_velezensis,63,0
1,0.111111111,Bacillus_velezensis,63,0
1,0.126984127,Bacillus_velezensis,63,0
1,0.142857143,Bacillus_velezensis,63,0
1,0.158730159,Bacillus_velezensis,63,0
1,0.174603175,Bacillus_velezensis,63,0
1,0.19047619,Bacillus_velezensis,63,0
1,0.206349206,Bacillus_velezensis,63,0
1,0.222222222,Bacillus_velezensis,63,0
1,0.238095238,Bacillus_velezensis,63,0
1,0.253968254,Bacillus_velezensis,63,0
1,0.26984127,Bacillus_velezensis,63,0
0.999999577,0.285714286,Bacillus_velezensis,63,0
0.99999907,0.301587302,Bacillus_velezensis,63,1.00E-06
0.999998563,0.317460317,Bacillus_velezensis,63,1.00E-06
0.999998056,0.333333333,Bacillus_velezensis,63,2.00E-06
0.999997549,0.349206349,Bacillus_velezensis,63,2.00E-06
0.999997042,0.365079365,Bacillus_velezensis,63,3.00E-06
